"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2017","40.99","41.52","41.59","40.99","6.58M","-0.94%"
"Dec 28, 2017","41.38","41.34","41.44","41.20","5.01M","0.17%"
"Dec 27, 2017","41.31","41.76","41.85","41.30","4.93M","-1.17%"
"Dec 26, 2017","41.80","41.86","42.09","41.63","3.37M","-0.52%"
"Dec 22, 2017","42.02","42.30","42.31","41.81","4.91M","-0.33%"
"Dec 21, 2017","42.16","42.58","42.75","42.13","10.14M","-0.85%"
"Dec 20, 2017","42.52","42.74","42.78","42.39","8.64M","0.07%"
"Dec 19, 2017","42.49","42.71","42.80","42.44","13.26M","0.81%"
"Dec 18, 2017","42.15","41.27","42.32","41.25","22.14M","2.93%"
"Dec 15, 2017","40.95","40.92","41.33","40.92","24.49M","0.34%"
"Dec 14, 2017","40.81","41.38","41.44","40.70","9.28M","-1.43%"
"Dec 13, 2017","41.40","41.54","41.91","41.39","9.97M","-0.31%"
"Dec 12, 2017","41.53","41.65","41.77","41.26","8.85M","-0.34%"
"Dec 11, 2017","41.67","41.88","41.93","41.56","14.11M","-0.83%"
"Dec 08, 2017","42.02","42.26","42.30","41.84","13.66M","0.00%"
"Dec 07, 2017","42.02","41.71","42.39","41.54","16.45M","-0.31%"
"Dec 06, 2017","42.15","42.57","42.69","42.14","12.87M","-1.52%"
"Dec 05, 2017","42.80","43.01","43.06","42.52","11.30M","-0.58%"
"Dec 04, 2017","43.05","43.20","43.42","42.92","14.02M","0.61%"
"Dec 01, 2017","42.79","43.19","43.25","41.87","19.32M","-0.70%"
"Nov 30, 2017","43.09","44.00","44.53","42.70","32.52M","-1.64%"
"Nov 29, 2017","43.81","45.10","45.35","43.79","19.44M","-2.47%"
"Nov 28, 2017","44.92","44.35","45.08","44.14","15.93M","1.70%"
"Nov 27, 2017","44.17","44.47","44.49","43.88","8.65M","-0.65%"
"Nov 24, 2017","44.46","44.45","44.54","44.24","3.81M","0.38%"
"Nov 22, 2017","44.29","44.89","44.95","44.21","9.84M","-1.51%"
"Nov 21, 2017","44.97","45.07","45.18","44.66","12.01M","0.20%"
"Nov 20, 2017","44.88","44.48","45.09","44.26","15.13M","2.28%"
"Nov 17, 2017","43.88","43.53","44.14","43.48","10.59M","0.64%"
"Nov 16, 2017","43.60","43.04","43.63","42.80","11.25M","1.73%"
"Nov 15, 2017","42.86","42.73","43.04","42.10","13.62M","-0.33%"
"Nov 14, 2017","43.00","43.15","43.45","42.74","9.43M","-1.31%"
"Nov 13, 2017","43.57","42.60","43.63","42.55","11.73M","2.13%"
"Nov 10, 2017","42.66","42.14","43.00","42.06","14.10M","1.31%"
"Nov 09, 2017","42.11","42.04","42.16","41.62","8.90M","0.00%"
"Nov 08, 2017","42.11","41.86","42.12","41.53","14.22M","0.98%"
"Nov 07, 2017","41.70","42.15","42.41","41.59","8.88M","-1.04%"
"Nov 06, 2017","42.14","42.30","42.36","41.35","14.17M","-0.47%"
"Nov 03, 2017","42.34","42.60","42.73","42.19","9.85M","-0.61%"
"Nov 02, 2017","42.60","43.30","43.30","42.46","12.01M","-1.23%"
"Nov 01, 2017","43.13","42.72","43.37","41.90","14.70M","0.35%"
"Oct 31, 2017","42.98","43.23","43.67","42.96","13.24M","-0.90%"
"Oct 30, 2017","43.37","43.04","43.81","42.26","23.79M","-2.84%"
"Oct 27, 2017","44.64","45.14","45.17","44.10","11.87M","-1.35%"
"Oct 26, 2017","45.25","45.19","45.64","45.10","9.65M","0.29%"
"Oct 25, 2017","45.12","45.70","45.97","44.77","18.06M","-2.93%"
"Oct 24, 2017","46.48","45.91","46.76","45.72","27.91M","2.95%"
"Oct 23, 2017","45.15","45.54","45.81","45.15","10.78M","-1.01%"
"Oct 20, 2017","45.61","45.50","45.73","45.14","12.20M","0.57%"
"Oct 19, 2017","45.35","44.75","45.40","44.56","13.05M","0.51%"
"Oct 18, 2017","45.12","45.28","45.59","45.03","10.88M","0.22%"
"Oct 17, 2017","45.02","45.80","46.06","44.95","14.70M","-1.62%"
"Oct 16, 2017","45.76","45.77","45.86","45.35","8.86M","-0.26%"
