"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 13, 2018","44.45","44.11","44.46","43.83","11.23M","0.61%"
"Jun 12, 2018","44.18","44.86","44.95","44.16","9.93M","-1.49%"
"Jun 11, 2018","44.85","44.30","44.89","44.29","14.06M","1.36%"
"Jun 08, 2018","44.25","43.98","44.33","43.92","8.55M","0.55%"
"Jun 07, 2018","44.01","43.51","44.37","43.51","15.33M","0.18%"
"Jun 06, 2018","43.93","43.66","44.00","43.36","18.03M","1.20%"
"Jun 05, 2018","43.41","43.61","43.77","43.34","12.02M","-0.85%"
"Jun 04, 2018","43.78","43.24","43.85","43.16","12.94M","1.34%"
"Jun 01, 2018","43.20","42.98","43.31","42.33","24.46M","1.17%"
"May 31, 2018","42.70","41.65","42.77","41.27","59.94M","12.87%"
"May 30, 2018","37.83","37.50","37.87","37.48","11.82M","1.20%"
"May 29, 2018","37.38","38.01","38.05","37.27","12.34M","-2.40%"
"May 25, 2018","38.30","38.25","38.40","38.11","5.25M","-0.23%"
"May 24, 2018","38.39","38.00","38.59","37.90","8.47M","1.43%"
"May 23, 2018","37.85","38.18","38.19","37.46","8.79M","-1.12%"
"May 22, 2018","38.28","38.58","38.77","38.26","6.99M","0.50%"
"May 21, 2018","38.09","38.16","38.34","37.98","6.23M","0.79%"
"May 18, 2018","37.79","38.27","38.40","37.72","5.58M","-1.33%"
"May 17, 2018","38.30","37.97","38.48","37.75","9.57M","0.71%"
"May 16, 2018","38.03","36.97","38.04","36.97","8.19M","2.95%"
"May 15, 2018","36.94","36.40","36.96","36.40","6.51M","0.85%"
"May 14, 2018","36.63","37.06","37.07","36.56","6.39M","-0.70%"
