"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2017","306.53","305.44","310.32","305.05","4.29M","-0.75%"
"Nov 30, 2017","308.85","308.56","310.70","304.54","4.35M","0.43%"
"Nov 29, 2017","307.54","317.30","318.00","301.23","8.77M","-3.15%"
"Nov 28, 2017","317.55","316.36","320.00","313.92","4.95M","0.23%"
"Nov 27, 2017","316.81","313.25","317.34","309.51","4.56M","0.40%"
"Nov 24, 2017","315.55","313.79","316.41","311.00","3.24M","0.94%"
"Nov 22, 2017","312.60","316.77","317.42","311.84","4.92M","-1.64%"
"Nov 21, 2017","317.81","310.86","318.23","308.71","7.26M","2.94%"
"Nov 20, 2017","308.74","313.79","315.50","304.75","8.25M","-2.00%"
"Nov 17, 2017","315.05","325.67","326.67","313.15","13.74M","0.82%"
"Nov 16, 2017","312.50","313.99","318.14","311.30","5.82M","0.39%"
"Nov 15, 2017","311.30","306.01","312.49","301.50","5.98M","0.84%"
"Nov 14, 2017","308.70","315.00","316.35","306.90","5.68M","-2.12%"
"Nov 13, 2017","315.40","300.13","316.80","299.11","7.58M","4.10%"
"Nov 10, 2017","302.99","302.50","308.36","301.85","4.63M","0.00%"
"Nov 09, 2017","302.99","302.50","304.46","296.30","5.45M","-0.46%"
"Nov 08, 2017","304.39","305.50","306.89","301.30","4.73M","-0.54%"
"Nov 07, 2017","306.05","301.02","306.50","300.03","5.29M","1.08%"
"Nov 06, 2017","302.78","307.00","307.50","299.01","6.49M","-1.08%"
"Nov 03, 2017","306.09","299.50","306.25","295.13","8.89M","2.28%"
"Nov 02, 2017","299.26","300.13","308.69","292.63","19.79M","-6.80%"
"Nov 01, 2017","321.08","332.25","332.61","320.26","8.46M","-3.15%"
"Oct 31, 2017","331.53","320.23","331.95","320.18","5.67M","3.58%"
"Oct 30, 2017","320.08","319.18","323.78","317.25","4.25M","-0.25%"
"Oct 27, 2017","320.87","319.75","324.59","316.66","6.98M","-1.62%"
"Oct 26, 2017","326.17","327.78","330.23","323.20","5.02M","0.10%"
"Oct 25, 2017","325.84","336.70","337.50","323.56","8.59M","-3.41%"
"Oct 24, 2017","337.34","338.80","342.80","336.16","4.49M","0.09%"
"Oct 23, 2017","337.02","349.88","349.95","336.25","5.75M","-2.34%"
"Oct 20, 2017","345.10","352.69","354.55","344.34","4.93M","-1.91%"
"Oct 19, 2017","351.81","355.56","357.15","348.20","5.06M","-2.18%"
"Oct 18, 2017","359.65","355.97","363.00","354.13","4.94M","1.10%"
"Oct 17, 2017","355.75","350.91","356.22","350.07","3.29M","1.47%"
"Oct 16, 2017","350.60","353.76","354.48","347.16","5.38M","-1.40%"
"Oct 13, 2017","355.57","356.98","358.49","353.68","3.54M","-0.03%"
"Oct 12, 2017","355.68","352.95","359.78","352.64","4.09M","0.30%"
"Oct 11, 2017","354.60","353.89","357.60","351.15","4.50M","-0.28%"
"Oct 10, 2017","355.59","346.80","355.63","345.53","6.98M","3.69%"
"Oct 09, 2017","342.94","349.65","351.75","342.67","7.49M","-3.91%"
"Oct 06, 2017","356.88","353.10","360.10","352.25","4.30M","0.44%"
"Oct 05, 2017","355.33","356.00","357.44","351.35","4.17M","0.09%"
"Oct 04, 2017","355.01","351.25","358.62","349.60","8.16M","1.97%"
"Oct 03, 2017","348.14","335.90","348.55","331.28","10.15M","1.94%"
"Oct 02, 2017","341.53","342.52","343.70","335.51","5.29M","0.13%"
"Sep 29, 2017","341.10","341.86","344.68","338.60","5.11M","0.44%"
"Sep 28, 2017","339.60","339.88","342.75","335.40","5.32M","-0.40%"
"Sep 27, 2017","340.97","349.90","351.49","340.50","6.06M","-1.24%"
"Sep 26, 2017","345.25","350.93","351.24","340.90","7.16M","0.08%"
"Sep 25, 2017","344.99","353.15","357.47","342.88","7.61M","-1.74%"
"Sep 22, 2017","351.09","366.49","369.90","350.88","8.16M","-4.20%"
"Sep 21, 2017","366.48","374.90","376.83","364.51","4.62M","-1.99%"
"Sep 20, 2017","373.91","373.00","378.25","371.07","4.92M","-0.32%"
"Sep 19, 2017","375.10","380.00","382.39","373.57","6.45M","-2.57%"
"Sep 18, 2017","385.00","380.25","389.61","377.68","7.19M","1.37%"
"Sep 15, 2017","379.81","374.51","380.00","372.70","5.42M","0.57%"
"Sep 14, 2017","377.64","364.33","377.96","362.63","7.20M","3.12%"
"Sep 13, 2017","366.23","363.82","368.07","359.59","4.19M","0.96%"
"Sep 12, 2017","362.75","364.49","368.76","360.40","5.97M","-0.26%"
"Sep 11, 2017","363.69","351.35","363.71","350.00","7.67M","5.91%"
"Sep 08, 2017","343.40","348.99","349.78","342.30","3.26M","-2.06%"
"Sep 07, 2017","350.61","345.98","352.48","343.45","4.24M","1.76%"
"Sep 06, 2017","344.53","349.50","350.98","341.56","4.09M","-1.45%"
"Sep 05, 2017","349.59","353.80","355.49","345.89","3.85M","-1.63%"
"Sep 01, 2017","355.40","356.12","357.59","353.69","3.05M","-0.14%"
"Aug 31, 2017","355.90","353.55","358.44","352.82","4.07M","0.77%"
"Aug 30, 2017","353.18","349.67","353.47","347.00","3.41M","1.68%"
"Aug 29, 2017","347.36","339.48","349.05","338.75","4.07M","0.49%"
"Aug 28, 2017","345.66","347.28","347.35","339.72","3.76M","-0.69%"
"Aug 25, 2017","348.05","354.24","355.69","347.30","3.48M","-1.38%"
"Aug 24, 2017","352.93","352.52","356.66","349.74","4.58M","0.05%"
