"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 13, 2018","344.78","346.71","347.20","339.80","9.36M","0.59%"
"Jun 12, 2018","342.77","344.70","354.97","338.00","22.35M","3.21%"
"Jun 11, 2018","332.10","322.51","334.66","322.50","13.18M","4.55%"
"Jun 08, 2018","317.66","319.00","324.48","317.15","8.21M","0.50%"
"Jun 07, 2018","316.09","316.15","330.00","313.58","14.35M","-1.07%"
"Jun 06, 2018","319.50","300.50","322.17","297.48","18.77M","9.74%"
"Jun 05, 2018","291.13","297.70","297.80","286.74","6.00M","-1.89%"
"Jun 04, 2018","296.74","294.34","299.00","293.55","4.80M","1.69%"
"Jun 01, 2018","291.82","285.86","291.95","283.84","5.42M","2.49%"
"May 31, 2018","284.73","287.21","290.37","282.93","5.92M","-2.40%"
"May 30, 2018","291.72","283.29","295.00","281.60","7.49M","2.81%"
"May 29, 2018","283.76","278.51","286.50","276.15","5.67M","1.76%"
"May 25, 2018","278.85","277.63","279.64","275.61","3.88M","0.36%"
"May 24, 2018","277.85","278.40","281.11","274.89","4.18M","-0.44%"
"May 23, 2018","279.07","277.76","279.91","274.00","5.99M","1.48%"
"May 22, 2018","275.01","287.76","288.00","273.42","8.95M","-3.33%"
"May 21, 2018","284.49","281.33","291.49","281.30","9.18M","2.77%"
"May 18, 2018","276.82","284.65","284.65","274.00","7.25M","-2.71%"
"May 17, 2018","284.54","285.90","289.19","283.97","4.42M","-0.68%"
"May 16, 2018","286.48","283.83","288.81","281.56","5.67M","0.81%"
"May 15, 2018","284.18","285.01","286.96","280.50","9.52M","-2.67%"
"May 14, 2018","291.97","303.32","304.94","291.62","7.29M","-3.02%"
