"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2017","115.75","116.21","116.37","115.07","324.60K","-0.28%"
"Jan 30, 2017","116.07","116.36","116.58","115.55","159.20K","-0.53%"
"Jan 27, 2017","116.69","117.09","117.09","116.50","196.73K","-1.92%"
"Jan 26, 2017","118.98","119.43","119.99","118.96","182.53K","-0.07%"
"Jan 25, 2017","119.06","118.62","119.28","118.52","233.15K","1.21%"
"Jan 24, 2017","117.64","116.91","117.92","116.69","304.23K","-0.55%"
"Jan 23, 2017","118.29","118.45","118.45","117.75","140.46K","-0.53%"
"Jan 20, 2017","118.92","119.12","119.39","118.66","122.60K","-0.33%"
"Jan 19, 2017","119.31","119.56","119.95","118.89","106.81K","0.44%"
"Jan 18, 2017","118.79","118.71","118.99","118.52","138.54K","0.32%"
"Jan 17, 2017","118.41","118.85","118.96","118.17","190.56K","-1.17%"
"Jan 13, 2017","119.81","119.82","119.90","119.52","113.09K","0.14%"
"Jan 12, 2017","119.64","119.64","119.94","118.36","218.73K","-0.23%"
"Jan 11, 2017","119.91","119.09","119.91","119.09","191.95K","0.13%"
"Jan 10, 2017","119.76","119.09","120.06","118.79","214.43K","0.02%"
"Jan 09, 2017","119.74","119.48","119.96","119.47","135.76K","-0.32%"
"Jan 06, 2017","120.13","119.84","120.23","119.41","171.56K","-0.26%"
"Jan 05, 2017","120.44","121.19","121.39","120.32","525.91K","-0.62%"
"Jan 04, 2017","121.19","120.27","121.29","120.14","250.60K","2.23%"
"Jan 03, 2017","118.55","118.17","118.67","117.83","203.98K","1.15%"
"Dec 30, 2016","117.20","117.77","117.91","116.82","153.46K","0.14%"
"Dec 29, 2016","117.04","117.29","117.63","116.78","181.66K","-1.17%"
"Dec 28, 2016","118.42","118.96","119.22","118.40","105.64K","-0.81%"
"Dec 27, 2016","119.39","119.46","119.96","119.04","234.52K","-1.25%"
"Dec 23, 2016","120.90","120.78","121.11","120.78","101.94K","0.20%"
"Dec 22, 2016","120.66","120.70","120.90","120.47","104.71K","-0.37%"
"Dec 21, 2016","121.11","121.35","121.44","121.00","87.47K","-0.46%"
"Dec 20, 2016","121.67","121.36","122.06","121.25","257.86K","-0.14%"
"Dec 19, 2016","121.84","121.32","122.23","121.24","171.92K","0.69%"
"Dec 16, 2016","121.00","120.87","121.45","120.71","203.82K","-0.80%"
"Dec 15, 2016","121.98","121.92","122.21","121.70","211.74K","0.76%"
"Dec 14, 2016","121.06","121.95","122.45","120.98","161.23K","-1.63%"
