"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 13, 2018","135.41","135.66","135.91","135.29","112.38K","0.64%"
"Jun 12, 2018","134.55","134.70","134.98","134.39","225.03K","-1.90%"
"Jun 11, 2018","137.15","136.48","137.56","136.47","95.28K","0.69%"
"Jun 08, 2018","136.21","136.39","136.41","135.79","107.10K","-0.18%"
"Jun 07, 2018","136.45","136.76","137.42","136.42","233.52K","0.21%"
"Jun 06, 2018","136.17","136.03","136.18","135.38","141.48K","2.03%"
"Jun 05, 2018","133.46","133.63","133.75","133.36","94.67K","-0.61%"
"Jun 04, 2018","134.28","135.25","135.29","134.18","180.48K","2.26%"
"Jun 01, 2018","131.31","131.29","131.87","130.92","225.84K","2.61%"
"May 31, 2018","127.97","127.83","128.15","127.09","370.02K","0.58%"
"May 30, 2018","127.23","126.64","127.67","126.59","287.66K","0.42%"
"May 29, 2018","126.70","127.43","127.83","126.36","276.55K","-2.51%"
"May 25, 2018","129.96","129.80","130.22","129.61","204.88K","-1.87%"
"May 24, 2018","132.44","132.40","132.81","131.79","261.85K","-1.77%"
"May 23, 2018","134.83","134.60","134.89","133.83","106.32K","-0.67%"
"May 22, 2018","135.74","136.50","136.50","135.66","120.39K","-0.52%"
"May 21, 2018","136.45","136.49","136.57","136.03","81.81K","0.30%"
"May 18, 2018","136.04","136.50","136.50","135.67","168.58K","-0.46%"
"May 17, 2018","136.67","137.00","137.06","136.46","73.15K","-0.50%"
"May 16, 2018","137.35","136.93","137.66","136.85","101.05K","0.83%"
"May 15, 2018","136.22","136.44","136.46","135.93","148.73K","-1.39%"
"May 14, 2018","138.14","138.04","138.45","138.00","98.90K","0.05%"
